"id","subject","category","difficulty","type","prompt","asset","explanation","errors","warnings"
"atomic_number_001","화학","원자 구조","초급","numeric","H","","H의 원자 번호는 1입니다.","0","0"
"atomic_number_002","화학","원자 구조","초급","numeric","He","","He의 원자 번호는 2입니다.","0","0"
"atomic_number_003","화학","원자 구조","초급","numeric","Li","","Li의 원자 번호는 3입니다.","0","0"
"atomic_number_004","화학","원자 구조","초급","numeric","Be","","Be의 원자 번호는 4입니다.","0","0"
"atomic_number_005","화학","원자 구조","초급","numeric","B","","B의 원자 번호는 5입니다.","0","0"
"atomic_number_006","화학","원자 구조","초급","numeric","C","","C의 원자 번호는 6입니다.","0","0"
"atomic_number_007","화학","원자 구조","초급","numeric","N","","N의 원자 번호는 7입니다.","0","0"
"atomic_number_008","화학","원자 구조","초급","numeric","O","","O의 원자 번호는 8입니다.","0","0"
"atomic_number_009","화학","원자 구조","초급","numeric","F","","F의 원자 번호는 9입니다.","0","0"
"atomic_number_010","화학","원자 구조","초급","numeric","Ne","","Ne의 원자 번호는 10입니다.","0","0"
"atomic_number_011","화학","원자 구조","초급","numeric","Na","","Na의 원자 번호는 11입니다.","0","0"
"atomic_number_012","화학","원자 구조","초급","numeric","Mg","","Mg의 원자 번호는 12입니다.","0","0"
"atomic_number_013","화학","원자 구조","초급","numeric","Al","","Al의 원자 번호는 13입니다.","0","0"
"atomic_number_014","화학","원자 구조","초급","numeric","Si","","Si의 원자 번호는 14입니다.","0","0"
"atomic_number_015","화학","원자 구조","초급","numeric","P","","P의 원자 번호는 15입니다.","0","0"
"atomic_number_016","화학","원자 구조","초급","numeric","S","","S의 원자 번호는 16입니다.","0","0"
"atomic_number_017","화학","원자 구조","초급","numeric","Cl","","Cl의 원자 번호는 17입니다.","0","0"
"atomic_number_018","화학","원자 구조","초급","numeric","Ar","","Ar의 원자 번호는 18입니다.","0","0"
"atomic_number_019","화학","원자 구조","초급","numeric","K","","K의 원자 번호는 19입니다.","0","0"
"atomic_number_020","화학","원자 구조","초급","numeric","Ca","","Ca의 원자 번호는 20입니다.","0","0"
"atomic_mass_001","화학","원자 구조","초급","numeric","H","","H의 원자량은 1입니다.","0","0"
"atomic_mass_002","화학","원자 구조","초급","numeric","He","","He의 원자량은 4입니다.","0","0"
"atomic_mass_003","화학","원자 구조","초급","numeric","Li","","Li의 원자량은 7입니다.","0","0"
"atomic_mass_004","화학","원자 구조","초급","numeric","Be","","Be의 원자량은 9입니다.","0","0"
"atomic_mass_005","화학","원자 구조","초급","numeric","B","","B의 원자량은 11입니다.","0","0"
"atomic_mass_006","화학","원자 구조","초급","numeric","C","","C의 원자량은 12입니다.","0","0"
"atomic_mass_007","화학","원자 구조","초급","numeric","N","","N의 원자량은 14입니다.","0","0"
"atomic_mass_008","화학","원자 구조","초급","numeric","O","","O의 원자량은 16입니다.","0","0"
"atomic_mass_009","화학","원자 구조","초급","numeric","F","","F의 원자량은 19입니다.","0","0"
"atomic_mass_010","화학","원자 구조","초급","numeric","Ne","","Ne의 원자량은 20입니다.","0","0"
"atomic_mass_011","화학","원자 구조","초급","numeric","Na","","Na의 원자량은 23입니다.","0","0"
"atomic_mass_012","화학","원자 구조","초급","numeric","Mg","","Mg의 원자량은 24입니다.","0","0"
"atomic_mass_013","화학","원자 구조","초급","numeric","Al","","Al의 원자량은 27입니다.","0","0"
"atomic_mass_014","화학","원자 구조","초급","numeric","Si","","Si의 원자량은 28입니다.","0","0"
"atomic_mass_015","화학","원자 구조","초급","numeric","P","","P의 원자량은 31입니다.","0","0"
"atomic_mass_016","화학","원자 구조","초급","numeric","S","","S의 원자량은 32입니다.","0","0"
"atomic_mass_017","화학","원자 구조","초급","numeric","Cl","","Cl의 원자량은 35.5입니다.","0","0"
"atomic_mass_018","화학","원자 구조","초급","numeric","Ar","","Ar의 원자량은 40입니다.","0","0"
"atomic_mass_019","화학","원자 구조","초급","numeric","K","","K의 원자량은 39입니다.","0","0"
"atomic_mass_020","화학","원자 구조","초급","numeric","Ca","","Ca의 원자량은 40입니다.","0","0"
"period_001","화학","원자 구조","초급","numeric","H의 주기는?","","H은 1주기 원소입니다.","0","0"
"group_001","화학","원자 구조","초급","numeric","H의 족은?","","H은 1족 원소입니다.","0","0"
"period_002","화학","원자 구조","초급","numeric","He의 주기는?","","He은 1주기 원소입니다.","0","0"
"group_002","화학","원자 구조","초급","numeric","He의 족은?","","He은 18족 원소입니다.","0","0"
"period_003","화학","원자 구조","초급","numeric","Li의 주기는?","","Li은 2주기 원소입니다.","0","0"
"group_003","화학","원자 구조","초급","numeric","Li의 족은?","","Li은 1족 원소입니다.","0","0"
"period_004","화학","원자 구조","초급","numeric","Be의 주기는?","","Be은 2주기 원소입니다.","0","0"
"group_004","화학","원자 구조","초급","numeric","Be의 족은?","","Be은 2족 원소입니다.","0","0"
"period_005","화학","원자 구조","초급","numeric","B의 주기는?","","B은 2주기 원소입니다.","0","0"
"group_005","화학","원자 구조","초급","numeric","B의 족은?","","B은 13족 원소입니다.","0","0"
"period_006","화학","원자 구조","초급","numeric","C의 주기는?","","C은 2주기 원소입니다.","0","0"
"group_006","화학","원자 구조","초급","numeric","C의 족은?","","C은 14족 원소입니다.","0","0"
"period_007","화학","원자 구조","초급","numeric","N의 주기는?","","N은 2주기 원소입니다.","0","0"
"group_007","화학","원자 구조","초급","numeric","N의 족은?","","N은 15족 원소입니다.","0","0"
"period_008","화학","원자 구조","초급","numeric","O의 주기는?","","O은 2주기 원소입니다.","0","0"
"group_008","화학","원자 구조","초급","numeric","O의 족은?","","O은 16족 원소입니다.","0","0"
"period_009","화학","원자 구조","초급","numeric","F의 주기는?","","F은 2주기 원소입니다.","0","0"
"group_009","화학","원자 구조","초급","numeric","F의 족은?","","F은 17족 원소입니다.","0","0"
"period_010","화학","원자 구조","초급","numeric","Ne의 주기는?","","Ne은 2주기 원소입니다.","0","0"
"group_010","화학","원자 구조","초급","numeric","Ne의 족은?","","Ne은 18족 원소입니다.","0","0"
"period_011","화학","원자 구조","초급","numeric","Na의 주기는?","","Na은 3주기 원소입니다.","0","0"
"group_011","화학","원자 구조","초급","numeric","Na의 족은?","","Na은 1족 원소입니다.","0","0"
"period_012","화학","원자 구조","초급","numeric","Mg의 주기는?","","Mg은 3주기 원소입니다.","0","0"
"group_012","화학","원자 구조","초급","numeric","Mg의 족은?","","Mg은 2족 원소입니다.","0","0"
"period_013","화학","원자 구조","초급","numeric","Al의 주기는?","","Al은 3주기 원소입니다.","0","0"
"group_013","화학","원자 구조","초급","numeric","Al의 족은?","","Al은 13족 원소입니다.","0","0"
"period_014","화학","원자 구조","초급","numeric","Si의 주기는?","","Si은 3주기 원소입니다.","0","0"
"group_014","화학","원자 구조","초급","numeric","Si의 족은?","","Si은 14족 원소입니다.","0","0"
"period_015","화학","원자 구조","초급","numeric","P의 주기는?","","P은 3주기 원소입니다.","0","0"
"group_015","화학","원자 구조","초급","numeric","P의 족은?","","P은 15족 원소입니다.","0","0"
"period_016","화학","원자 구조","초급","numeric","S의 주기는?","","S은 3주기 원소입니다.","0","0"
"group_016","화학","원자 구조","초급","numeric","S의 족은?","","S은 16족 원소입니다.","0","0"
"period_017","화학","원자 구조","초급","numeric","Cl의 주기는?","","Cl은 3주기 원소입니다.","0","0"
